from,to,same_frequency,frequency_Hz,M_uH,k_effective,P_from_to_W,Q_from_to_VAR,S_from_to_VA,P_to_from_W,Q_to_from_VAR,S_to_from_VA,Pmax_matched_from_to_W,Pmax_matched_to_from_W,omega_rad_s
B4_C5,B4_C8,True,128000.0,1.2433979929054324,0.0025,1.0068121535055215e-14,2.8685025293725355,2.8685025293725355,-1.0083866488969338e-14,2.8685025293725355,2.8685025293725355,0.03585628161715669,0.03585628161715669,804247.719318987
B4_C5,U_B,True,128000.0,2.567629490508004,0.012000000000000002,-10.121280273870052,6.033867336574545,11.783372582483008,10.121280273870052,6.033867336574544,11.783372582483006,0.49567723707557415,0.6050538041881393,804247.719318987
B4_C6,B4_C7,True,128000.0,1.2433979929054324,0.0025,-9.01297759250991e-15,2.868502529372536,2.868502529372536,9.017910975219163e-15,2.868502529372536,2.868502529372536,0.035856281617156746,0.03585628161715665,804247.719318987
B4_C6,B4_C8,True,128000.0,1.2433979929054324,0.0025,2.0187351187888864e-16,2.8685025293725377,2.8685025293725377,-2.0288156980544572e-16,2.8685025293725377,2.8685025293725377,0.035856281617156746,0.03585628161715669,804247.719318987
B4_C6,U_B,True,128000.0,2.567629490508004,0.012000000000000002,-10.12128027387008,6.033867336574514,11.783372582483013,10.121280273870081,6.033867336574514,11.783372582483015,0.49567723707557476,0.6050538041881393,804247.719318987
B4_C7,B4_C8,True,128000.0,1.2433979929054324,0.0025,9.274015000416437e-15,2.8685025293725337,2.8685025293725337,-9.272650951459481e-15,2.8685025293725337,2.8685025293725337,0.03585628161715665,0.03585628161715669,804247.719318987
B4_C7,U_B,True,128000.0,2.567629490508004,0.012000000000000002,-10.121280273870047,6.033867336574537,11.783372582482997,10.121280273870047,6.033867336574538,11.783372582482997,0.49567723707557354,0.6050538041881393,804247.719318987
B4_C8,U_B,True,128000.0,2.567629490508004,0.012000000000000002,-10.121280273870072,6.033867336574509,11.783372582483006,10.121280273870074,6.0338673365745095,11.783372582483006,0.49567723707557415,0.6050538041881393,804247.719318987
B3_C1,B3_C2,True,64000.0,1.2433979929054324,0.0025,2.560697871567875e-14,6.727589300120834,6.727589300120834,-2.5725652843239014e-14,6.727589300120834,6.727589300120834,0.08409486625151041,0.08409486625151041,402123.8596594935
B3_C1,B3_C3,True,64000.0,1.2433979929054324,0.0025,-0.011989231196664805,6.72808808188788,6.728098764086806,0.011989231196664674,6.72808808188788,6.728098764086806,0.08409486625151041,0.08410760333291556,402123.8596594935
B3_C1,B3_C4,True,64000.0,1.2433979929054324,0.0025,-0.011989231196681062,6.728088081887872,6.728098764086799,0.01198923119668119,6.728088081887872,6.728098764086799,0.08409486625151041,0.08410760333291538,402123.8596594935
B3_C1,B2_C1,False,,3.9788735772973833,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_C2,B3_C3,True,64000.0,1.2433979929054324,0.0025,-0.011989231196690178,6.728088081887879,6.728098764086806,0.011989231196690193,6.728088081887879,6.728098764086806,0.08409486625151041,0.08410760333291556,402123.8596594935
B3_C2,B3_C4,True,64000.0,1.2433979929054324,0.0025,-0.011989231196706876,6.728088081887871,6.728098764086798,0.011989231196706708,6.728088081887871,6.728098764086798,0.08409486625151041,0.08410760333291538,402123.8596594935
B3_C2,B2_C2,False,,3.9788735772973833,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_C3,B3_C4,True,64000.0,1.2433979929054324,0.0025,-1.6364403271379345e-14,6.728608266633238,6.728608266633238,1.6422311368368295e-14,6.728608266633238,6.728608266633238,0.08410760333291556,0.08410760333291538,402123.8596594935
B2_C1,B2_C2,True,32000.0,1.2433979929054324,0.0025,1.0354845766193227e-14,14.329280501684025,14.329280501684025,-1.0757844349239847e-14,14.329280501684025,14.329280501684025,0.17911600627105026,0.1791160062710504,201061.92982974675
B2_C1,B1_C1,False,,5.626976975981913,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_C2,B1_C2,False,,5.626976975981913,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1_C1,B1_C2,True,16000.0,2.486795985810865,0.0025,6.627313395281201e-14,12.453751772912282,12.453751772912282,-6.62820355752779e-14,12.453751772912282,12.453751772912282,0.1556718971614039,0.15567189716140314,100530.96491487337
U_A,U_B,True,128000.0,7.364140263374006,0.08,10.945370699703465,-48.169976039782384,49.39785148594153,-10.945370699703467,-48.169976039782384,49.39785148594153,8.711157691099652,16.134768111683712,804247.719318987
